#####################################################
Korean Readings in CJK Unified Ideographs Extension B
by Damheo Lee with The MIT License (MIT)
#####################################################

#HEX	Hanja	Reading

U+20000	𠀀	하
U+20001	𠀁	칠
U+20002	𠀂	을
U+20003	𠀃	차;저
U+20004	𠀄	혜
U+20005	𠀅	해
U+20006	𠀆	관
U+20007	𠀇	차
U+20008	𠀈	구
U+20009	𠀉	상
U+2000A	𠀊	초
U+2000B	𠀋	장
U+2000C	𠀌	구
U+2000D	𠀍	세
U+2000E	𠀎	세
U+2000F	𠀏	둔
U+20010	𠀐	중
U+20011	𠀑	천
U+20012	𠀒	평
U+20013	𠀓	사
U+20014	𠀔	굴
U+20015	𠀕	긍
U+20016	𠀖	항
U+20017	𠀗	경
U+20018	𠀘	천
U+20019	𠀙	려
U+2001A	𠀚	불
U+2001B	𠀛	옥
U+2001C	𠀜	구
U+2001D	𠀝	공
U+2001E	𠀞	려
U+2001F	𠀟	함
U+20020	𠀠	기
U+20021	𠀡	천
U+20022	𠀢	자
U+20023	𠀣	기
U+20024	𠀤	병
U+20025	𠀥	긍
U+20026	𠀦	형
U+20027	𠀧	파
U+20028	𠀨	급
U+20029	𠀩	정
U+2002A	𠀪	가
U+2002B	𠀫	기
U+2002C	𠀬	첨
U+2002D	𠀭	평
U+2002E	𠀮	기
U+2002F	𠀯	연
U+20030	𠀰	다
U+20031	𠀱	모
U+20032	𠀲	정
U+20033	𠀳	이
U+20034	𠀴	출
U+20035	𠀵	양
U+20036	𠀶	실
U+20037	𠀷	급
U+20038	𠀸	야
U+20039	𠀹	군
U+2003A	𠀺	제
U+2003B	𠀻	원
U+2003C	𠀼	하
U+2003D	𠀽	패
U+2003E	𠀾	배
U+2003F	𠀿	취
U+20040	𠁀	대
U+20041	𠁁	두
U+20042	𠁂	정
U+20043	𠁃	포
U+20044	𠁄	륜
U+20045	𠁅	처
U+20046	𠁆	핍
U+20047	𠁇	의
U+20048	𠁈	군
U+20049	𠁉	초
U+2004A	𠁊	상
U+2004B	𠁋	동
U+2004C	𠁌	야
U+2004D	𠁍	미
U+2004E	𠁎	사
U+2004F	𠁏	곤
U+20050	𠁐	곤
U+20051	𠁑	대
U+20052	𠁒	가
