#####################################################
Korean Readings in CJK Unified Ideographs Extension C
by Damheo Lee with The MIT License (MIT)
#####################################################

#HEX	Hanja	Reading

U+2A700	𪜀	등
U+2A701	𪜁	벌
U+2A702	𪜂	와
U+2A703	𪜃	사
U+2A704	𪜄	파
U+2A705	𪜅	심
U+2A706	𪜆	련
U+2A707	𪜇	험
U+2A708	𪜈	모
U+2A709	𪜉	양
U+2A70A	𪜊	
U+2A70B	𪜋	
U+2A70C	𪜌	
U+2A70D	𪜍	천
U+2A70E	𪜎	교
U+2A70F	𪜏	행
U+2A710	𪜐	
U+2A711	𪜑	말
U+2A712	𪜒	길
U+2A713	𪜓	걸
U+2A714	𪜔	
U+2A715	𪜕	도
U+2A716	𪜖	실
U+2A717	𪜗	
U+2A718	𪜘	파
U+2A719	𪜙	수
U+2A71A	𪜚	매
U+2A71B	𪜛	포
U+2A71C	𪜜	
U+2A71D	𪜝	기
U+2A71E	𪜞	진
U+2A71F	𪜟	
U+2A720	𪜠	항
U+2A721	𪜡	
U+2A722	𪜢	보
U+2A723	𪜣	곤
U+2A724	𪜤	
U+2A725	𪜥	름
U+2A726	𪜦	정
U+2A727	𪜧	
U+2A728	𪜨	녕
U+2A729	𪜩	구
U+2A72A	𪜪	
U+2A72B	𪜫	축
U+2A72C	𪜬	여
U+2A72D	𪜭	개
U+2A72E	𪜮	목
U+2A72F	𪜯	령
U+2A730	𪜰	
U+2A731	𪜱	예
U+2A732	𪜲	
U+2A733	𪜳	면
U+2A734	𪜴	
U+2A735	𪜵	계
U+2A736	𪜶	인
U+2A737	𪜷	타
U+2A738	𪜸	자
U+2A739	𪜹	우
U+2A73A	𪜺	주
U+2A73B	𪜻	적;낭
U+2A73C	𪜼	우
U+2A73D	𪜽	리
U+2A73E	𪜾	주
U+2A73F	𪜿	언
U+2A740	𪝀	각
U+2A741	𪝁	잇
U+2A742	𪝂	
U+2A743	𪝃	차
U+2A744	𪝄	과
U+2A745	𪝅	매
U+2A746	𪝆	방
U+2A747	𪝇	
U+2A748	𪝈	수
U+2A749	𪝉	조
U+2A74A	𪝊	저
U+2A74B	𪝋	상
U+2A74C	𪝌	묘
U+2A74D	𪝍	호
U+2A74E	𪝎	령
U+2A74F	𪝏	
U+2A750	𪝐	
U+2A751	𪝑	온
U+2A752	𪝒	가
U+2A753	𪝓	일
U+2A754	𪝔	원
U+2A755	𪝕	번
U+2A756	𪝖	공
U+2A757	𪝗	윤
U+2A758	𪝘	유
U+2A759	𪝙	
U+2A75A	𪝚	
U+2A75B	𪝛	은
U+2A75C	𪝜	사
U+2A75D	𪝝	
U+2A75E	𪝞	일
U+2A75F	𪝟	
U+2A760	𪝠	재
U+2A761	𪝡	모
U+2A762	𪝢	
U+2A763	𪝣	기
U+2A764	𪝤	
U+2A765	𪝥	유
U+2A766	𪝦	
U+2A767	𪝧	
U+2A768	𪝨	걸
U+2A769	𪝩	비
U+2A76A	𪝪	가
U+2A76B	𪝫	엄
U+2A76C	𪝬	쇄
U+2A76D	𪝭	우
U+2A76E	𪝮	선
U+2A76F	𪝯	득
U+2A770	𪝰	마
U+2A771	𪝱	최
U+2A772	𪝲	추
U+2A773	𪝳	흔
U+2A774	𪝴	천
U+2A775	𪝵	
U+2A776	𪝶	
U+2A777	𪝷	예
U+2A778	𪝸	민
U+2A779	𪝹	묘
U+2A77A	𪝺	하
U+2A77B	𪝻	쇄
U+2A77C	𪝼	
U+2A77D	𪝽	
U+2A77E	𪝾	춘
U+2A77F	𪝿	두
U+2A780	𪞀	광
U+2A781	𪞁	토
U+2A782	𪞂	
U+2A783	𪞃	성
U+2A784	𪞄	
U+2A785	𪞅	태
U+2A786	𪞆	찬
U+2A787	𪞇	분
U+2A788	𪞈	
U+2A789	𪞉	공
U+2A78A	𪞊	상
U+2A78B	𪞋	공
U+2A78C	𪞌	
U+2A78D	𪞍	겸
U+2A78E	𪞎	고
U+2A78F	𪞏	완
U+2A790	𪞐	한
U+2A791	𪞑	
U+2A792	𪞒	관
U+2A793	𪞓	석
U+2A794	𪞔	
U+2A795	𪞕	과
U+2A796	𪞖	범
U+2A797	𪞗	예
U+2A798	𪞘	금
U+2A799	𪞙	문
U+2A79A	𪞚	탁
U+2A79B	𪞛	전
U+2A79C	𪞜	박
U+2A79D	𪞝	탁
U+2A79E	𪞞	성
U+2A79F	𪞟	
U+2A7A0	𪞠	면
U+2A7A1	𪞡	사
U+2A7A2	𪞢	애
U+2A7A3	𪞣	호
U+2A7A4	𪞤	념
U+2A7A5	𪞥	종
U+2A7A6	𪞦	위
U+2A7A7	𪞧	대
U+2A7A8	𪞨	정
U+2A7A9	𪞩	회
U+2A7AA	𪞪	부
U+2A7AB	𪞫	수
U+2A7AC	𪞬	장
U+2A7AD	𪞭	요
U+2A7AE	𪞮	령
U+2A7AF	𪞯	호
U+2A7B0	𪞰	틈
U+2A7B1	𪞱	각
U+2A7B2	𪞲	점
U+2A7B3	𪞳	승
U+2A7B4	𪞴	기
U+2A7B5	𪞵	설
U+2A7B6	𪞶	자
U+2A7B7	𪞷	라
U+2A7B8	𪞸	오
U+2A7B9	𪞹	인
U+2A7BA	𪞺	유
U+2A7BB	𪞻	우
U+2A7BC	𪞼	선
U+2A7BD	𪞽	농
U+2A7BE	𪞾	부
U+2A7BF	𪞿	
U+2A7C0	𪟀	방
U+2A7C1	𪟁	
U+2A7C2	𪟂	점
U+2A7C3	𪟃	
U+2A7C4	𪟄	역
U+2A7C5	𪟅	결
U+2A7C6	𪟆	육
U+2A7C7	𪟇	완
U+2A7C8	𪟈	
U+2A7C9	𪟉	고
U+2A7CA	𪟊	오;과
U+2A7CB	𪟋	인
U+2A7CC	𪟌	
U+2A7CD	𪟍	통
U+2A7CE	𪟎	감
U+2A7CF	𪟏	잉
U+2A7D0	𪟐	쟁
U+2A7D1	𪟑	분
U+2A7D2	𪟒	족
U+2A7D3	𪟓	곤
U+2A7D4	𪟔	
U+2A7D5	𪟕	기
U+2A7D6	𪟖	진
