#####################################################
Korean Readings in CJK Unified Ideographs Ext. Comp.
by Damheo Lee on Apache License 2.0
#####################################################

#HEX	Hanja	Reading

2F800	丽	려
2F801	丸	환
2F802	乁	이
2F803	𠄢	긍
2F804	你	니
2F805	侮	모
2F806	侻	탈
2F807	倂	병
2F808	偺	찰
2F809	備	비
2F80A	僧	승
2F80B	像	상
2F80C	㒞	준
2F80D	𠘺	사
2F80E	免	면
2F80F	兔	토
2F810	兤	황
2F811	具	구
2F812	𠔜	곤
2F813	㒹	전
2F814	內	내
2F815	再	재
2F816	𠕋	책
2F817	冗	용
2F818	冤	원
2F819	仌	빙
2F81A	冬	동
2F81B	况	황
2F81C	𩇟	청
2F81D	凵	감
2F81E	刃	인
2F81F	㓟	피
2F820	刻	각
2F821	剆	라
2F822	割	할
2F823	剷	산
2F824	㔕	글
2F825	勇	용
2F826	勉	면
2F827	勤	근
2F828	勺	작
2F829	包	포
2F82A	匆	총
2F82B	北	북
2F82C	卉	훼
2F82D	卑	비
2F82E	博	박
2F82F	即	즉
2F830	卽	즉
2F831	卿	경
2F832	卿	경
2F833	卿	경
2F834	𠨬	지
2F835	灰	회
2F836	及	급
2F837	叟	수
2F838	𠭣	돈
2F839	叫	규
2F83A	叱	질
2F83B	吆	요
2F83C	咞	현
2F83D	吸	흡
2F83E	呈	정
2F83F	周	주
2F840	咢	악
2F841	哶	마
2F842	唐	당
2F843	啓	계
2F844	啣	함
2F845	善	선
2F846	善	선
2F847	喙	훼
2F848	喫	끽
2F849	喳	사
2F84A	嗂	요
2F84B	圖	도
2F84C	嘆	탄
2F84D	圗	도
2F84E	噑	호
2F84F	噴	분
2F850	切	절
2F851	壮	장
2F852	城	성
2F853	埴	식
2F854	堍	토
2F855	型	형
2F856	堲	즐
2F857	報	보
2F858	墬	지
2F859	𡓤	괴
2F85A	売	매
2F85B	壷	호
2F85C	夆	봉
2F85D	多	다
2F85E	夢	몽
2F85F	奢	사
2F860	𡚨	질
2F861	𡛪	망
2F862	姬	희
2F863	娛	오
2F864	娧	태
2F865	姘	평
2F866	婦	부
2F867	㛮	수
2F868	㛼	삽
2F869	嬈	요
2F86A	嬾	란
2F86B	嬾	란
2F86C	𡧈	우
2F86D	寃	원
2F86E	寘	치
2F86F	寧	녕
2F870	寳	보
2F871	𡬘	로
2F872	寿	수
2F873	将	장
2F874	当	당
2F875	尢	왕
2F876	㞁	요
2F877	屠	도
2F878	屮	좌
2F879	峀	수
2F87A	岍	견
2F87B	𡷤	오
2F87C	嵃	언
2F87D	𡷦	절
2F87E	嵮	전
2F87F	嵫	자
2F880	嵼	산
2F881	巡	순
2F882	巢	소
2F883	㠯	이
2F884	巽	손
2F885	帨	세
2F886	帽	모
2F887	幩	분
2F888	㡢	만
2F889	𢆃	향
2F88A	㡼	예
2F88B	庰	병
2F88C	庳	비
2F88D	庶	서
2F88E	廊	랑
2F88F	𪎒	삭
2F890	廾	공
2F891	𢌱	여
2F892	𢌱	여
2F893	舁	여
2F894	弢	도
2F895	弢	도
2F896	㣇	이
2F897	𣊸	홀
2F898	𦇚	이
2F899	形	형
2F89A	彫	조
2F89B	㣣	섬
2F89C	徚	련
2F89D	忍	인
2F89E	志	지
2F89F	忹	왕
2F8A0	悁	연
2F8A1	㤺	황
2F8A2	㤜	휼
2F8A3	悔	회
2F8A4	𢛔	동
2F8A5	惇	돈
2F8A6	慈	자
2F8A7	慌	황
2F8A8	慎	신
2F8A9	慌	황
2F8AA	慺	루
2F8AB	憎	증
2F8AC	憲	헌
2F8AD	憤	분
2F8AE	憯	참
2F8AF	懞	몽
2F8B0	懲	징
2F8B1	懶	라
2F8B2	成	성
2F8B3	戛	알
2F8B4	扝	우
2F8B5	抱	포
2F8B6	拔	발
2F8B7	捐	연
2F8B8	𢬌	발
2F8B9	挽	만
2F8BA	拼	평
2F8BB	捨	사
2F8BC	掃	소
2F8BD	揤	즉
2F8BE	𢯱	수
2F8BF	搢	진
2F8C0	揅	연
2F8C1	掩	엄
2F8C2	㨮	두
2F8C3	摩	마
2F8C4	摾	강
2F8C5	撝	휘
2F8C6	摷	초
2F8C7	㩬	희
2F8C8	敏	민
2F8C9	敬	경
2F8CA	𣀊	렴
2F8CB	旣	기
2F8CC	書	서
2F8CD	晉	진
2F8CE	㬙	위
2F8CF	暑	서
2F8D0	㬈	온
2F8D1	㫤	창
2F8D2	冒	모
2F8D3	冕	면
2F8D4	最	최
2F8D5	暜	보
2F8D6	肭	눌
2F8D7	䏙	탐
2F8D8	朗	랑
2F8D9	望	망
2F8DA	朡	종
2F8DB	杞	기
2F8DC	杓	표
2F8DD	𣏃	지
2F8DE	㭉	화
2F8DF	柺	괘
2F8E0	枅	계
2F8E1	桒	상
2F8E2	梅	매
2F8E3	𣑭	책
2F8E4	梎	요
2F8E5	栟	병
2F8E6	椔	치
2F8E7	㮝	혁
2F8E8	楂	사
